dataset,column,dtype,null_pct,n_unique,source,meaning,example_values
historical_2015_2024,understat_red_cards,int64,0.0,6,Understat,Understat player-season stat/attribute,0 (18203); 1 (2347); 2 (218)
historical_2015_2024,understat_xg_chain,float64,0.0,19380,Understat,Understat player-season stat/attribute,0.0 (782); 2.2463076934218407 (3); 3.7941148430109024 (2)
historical_2015_2024,understat_xg_buildup,float64,0.0,19025,Understat,Understat player-season stat/attribute,0.0 (1143); 1.6851473189890385 (3); 3.294549886137247 (2)
historical_2015_2024,market_value_date,object,0.0,324,Transfermarkt target layer,Merged or engineered feature,2016-07-15 (768); 2022-06-07 (505); 2023-06-15 (499)
historical_2015_2024,transfermarkt_team_name,object,0.0,662,Transfermarkt,Transfermarkt attribute,Juventus FC (250); ACF Fiorentina (247); Genoa CFC (246)
historical_2015_2024,transfermarkt_age_at_season,float64,0.0,27,Transfermarkt,Player age aligned to season from Transfermarkt,24.0 (1786); 25.0 (1763); 26.0 (1741)
historical_2015_2024,transfermarkt_match_level,object,0.0,2,Transfermarkt,Transfermarkt attribute,player_match (12323); team_match (8470)
historical_2015_2024,last_market_value_date,object,0.0,462,Transfermarkt target layer,Merged or engineered feature,2015-07-01 (1484); 2016-07-15 (696); 2017-06-28 (428)
historical_2015_2024,last_transfermarkt_team_name,object,0.0,910,Transfermarkt,Transfermarkt metadata for previous market value,Juventus FC (247); AC Milan (231); Chelsea FC (226)
historical_2015_2024,last_transfermarkt_match_level,object,0.0,2,Transfermarkt,Transfermarkt metadata for previous market value,player_match (14016); team_match (6777)
historical_2015_2024,matched_last_transfermarkt,int64,0.0,1,Engineered/Merged,Merged or engineered feature,1 (20793)
historical_2015_2024,understat_match_level,object,0.0,3,Understat,Understat player-season stat/attribute,full (17346); player_league (3444); player_only (3)
historical_2015_2024,matched_understat,int64,0.0,1,Engineered/Merged,Merged or engineered feature,1 (20793)
historical_2015_2024,matched_transfermarkt,int64,0.0,1,Engineered/Merged,Merged or engineered feature,1 (20793)
historical_2015_2024,player_season_duplicate_n,int64,0.0,1,Engineered key/label,Merged or engineered feature,0 (20793)
